detector,descriptor,imageId,ttcLidar,ttcCamera,absDiff
AKAZE,AKAZE,1,12.515600,11.472353,1.043247
AKAZE,AKAZE,2,12.614245,13.593630,0.979385
AKAZE,AKAZE,3,14.091013,13.455111,0.635902
AKAZE,AKAZE,4,16.689386,13.655368,3.034018
AKAZE,AKAZE,5,15.908233,15.114662,0.793571
AKAZE,AKAZE,6,12.678716,14.787783,2.109068
AKAZE,AKAZE,7,11.984351,15.791792,3.807441
AKAZE,AKAZE,8,13.124118,14.635729,1.511611
AKAZE,AKAZE,9,13.024118,14.422408,1.398290
AKAZE,AKAZE,10,11.174641,11.772592,0.597950
AKAZE,AKAZE,11,12.808601,13.580621,0.772020
AKAZE,AKAZE,12,8.959780,10.976801,2.017021
AKAZE,AKAZE,13,9.964390,10.953169,0.988779
AKAZE,AKAZE,14,9.598630,11.963187,2.364557
AKAZE,AKAZE,15,8.573525,10.368572,1.795047
AKAZE,AKAZE,16,9.516170,10.126982,0.610813
AKAZE,AKAZE,17,9.546581,9.852926,0.306345
AKAZE,AKAZE,18,8.398803,9.330078,0.931275
