detector,descriptor,imageId,ttcLidar,ttcCamera,absDiff
AKAZE,BRIEF,1,12.515600,12.274401,0.241199
AKAZE,BRIEF,2,12.614245,13.156773,0.542528
AKAZE,BRIEF,3,14.091013,12.540016,1.550996
AKAZE,BRIEF,4,16.689386,12.786020,3.903366
AKAZE,BRIEF,5,15.908233,14.034210,1.874022
AKAZE,BRIEF,6,12.678716,12.633321,0.045395
AKAZE,BRIEF,7,11.984351,15.545137,3.560786
AKAZE,BRIEF,8,13.124118,13.484983,0.360865
AKAZE,BRIEF,9,13.024118,11.780510,1.243608
AKAZE,BRIEF,10,11.174641,11.426142,0.251500
AKAZE,BRIEF,11,12.808601,12.518151,0.290450
AKAZE,BRIEF,12,8.959780,10.691741,1.731961
AKAZE,BRIEF,13,9.964390,11.615872,1.651482
AKAZE,BRIEF,14,9.598630,10.503519,0.904889
AKAZE,BRIEF,15,8.573525,9.370065,0.796540
AKAZE,BRIEF,16,9.516170,10.162922,0.646752
AKAZE,BRIEF,17,9.546581,9.131362,0.415219
AKAZE,BRIEF,18,8.398803,8.356427,0.042376
