detector,descriptor,imageId,ttcLidar,ttcCamera,absDiff
AKAZE,BRISK,1,12.515600,12.348347,0.167253
AKAZE,BRISK,2,12.614245,12.626630,0.012385
AKAZE,BRISK,3,14.091013,13.207889,0.883123
AKAZE,BRISK,4,16.689386,13.770611,2.918775
AKAZE,BRISK,5,15.908233,13.528673,2.379559
AKAZE,BRISK,6,12.678716,12.936100,0.257384
AKAZE,BRISK,7,11.984351,16.587469,4.603118
AKAZE,BRISK,8,13.124118,13.117250,0.006868
AKAZE,BRISK,9,13.024118,13.788093,0.763975
AKAZE,BRISK,10,11.174641,11.896441,0.721799
AKAZE,BRISK,11,12.808601,12.741964,0.066637
AKAZE,BRISK,12,8.959780,10.808355,1.848575
AKAZE,BRISK,13,9.964390,10.400324,0.435934
AKAZE,BRISK,14,9.598630,9.343097,0.255533
AKAZE,BRISK,15,8.573525,9.579370,1.005845
AKAZE,BRISK,16,9.516170,9.555730,0.039561
AKAZE,BRISK,17,9.546581,8.514568,1.032014
AKAZE,BRISK,18,8.398803,8.499307,0.100504
