detector,descriptor,imageId,ttcLidar,ttcCamera,absDiff
AKAZE,FREAK,1,12.515600,11.378203,1.137397
AKAZE,FREAK,2,12.614245,12.155402,0.458843
AKAZE,FREAK,3,14.091013,12.799665,1.291348
AKAZE,FREAK,4,16.689386,14.016217,2.673168
AKAZE,FREAK,5,15.908233,14.178680,1.729553
AKAZE,FREAK,6,12.678716,14.078483,1.399768
AKAZE,FREAK,7,11.984351,16.030456,4.046105
AKAZE,FREAK,8,13.124118,12.832520,0.291598
AKAZE,FREAK,9,13.024118,14.890714,1.866596
AKAZE,FREAK,10,11.174641,11.415759,0.241117
AKAZE,FREAK,11,12.808601,11.937540,0.871062
AKAZE,FREAK,12,8.959780,10.660028,1.700247
AKAZE,FREAK,13,9.964390,11.271966,1.307575
AKAZE,FREAK,14,9.598630,10.955942,1.357312
AKAZE,FREAK,15,8.573525,9.663086,1.089561
AKAZE,FREAK,16,9.516170,10.578166,1.061997
AKAZE,FREAK,17,9.546581,9.397548,0.149033
AKAZE,FREAK,18,8.398803,8.936036,0.537232
