detector,descriptor,imageId,ttcLidar,ttcCamera,absDiff
AKAZE,ORB,1,12.515600,10.303454,2.212146
AKAZE,ORB,2,12.614245,12.272641,0.341605
AKAZE,ORB,3,14.091013,13.011402,1.079610
AKAZE,ORB,4,16.689386,14.089462,2.599924
AKAZE,ORB,5,15.908233,12.893142,3.015091
AKAZE,ORB,6,12.678716,12.877825,0.199109
AKAZE,ORB,7,11.984351,15.361990,3.377639
AKAZE,ORB,8,13.124118,13.232141,0.108023
AKAZE,ORB,9,13.024118,10.698278,2.325840
AKAZE,ORB,10,11.174641,11.045435,0.129206
AKAZE,ORB,11,12.808601,12.705615,0.102986
AKAZE,ORB,12,8.959780,11.397342,2.437561
AKAZE,ORB,13,9.964390,11.771904,1.807514
AKAZE,ORB,14,9.598630,10.223359,0.624729
AKAZE,ORB,15,8.573525,10.488403,1.914878
AKAZE,ORB,16,9.516170,9.886163,0.369993
AKAZE,ORB,17,9.546581,9.673491,0.126910
AKAZE,ORB,18,8.398803,9.800992,1.402188
