detector,descriptor,imageId,ttcLidar,ttcCamera,absDiff
AKAZE,SIFT,1,12.515600,12.205240,0.310360
AKAZE,SIFT,2,12.614245,12.739366,0.125121
AKAZE,SIFT,3,14.091013,13.125420,0.965592
AKAZE,SIFT,4,16.689386,13.684319,3.005066
AKAZE,SIFT,5,15.908233,14.738844,1.169389
AKAZE,SIFT,6,12.678716,14.730037,2.051321
AKAZE,SIFT,7,11.984351,15.561846,3.577495
AKAZE,SIFT,8,13.124118,14.025526,0.901408
AKAZE,SIFT,9,13.024118,12.644563,0.379555
AKAZE,SIFT,10,11.174641,11.421729,0.247088
AKAZE,SIFT,11,12.808601,12.658708,0.149893
AKAZE,SIFT,12,8.959780,10.679961,1.720181
AKAZE,SIFT,13,9.964390,10.983651,1.019261
AKAZE,SIFT,14,9.598630,10.792927,1.194297
AKAZE,SIFT,15,8.573525,9.952265,1.378740
AKAZE,SIFT,16,9.516170,10.291902,0.775732
AKAZE,SIFT,17,9.546581,9.930997,0.384416
AKAZE,SIFT,18,8.398803,8.540101,0.141298
