detector,descriptor,imageId,ttcLidar,ttcCamera,absDiff
BRISK,BRIEF,1,12.515600,10.963489,1.552111
BRISK,BRIEF,2,12.614245,15.076037,2.461792
BRISK,BRIEF,3,14.091013,10.816333,3.274680
BRISK,BRIEF,4,16.689386,22.773347,6.083962
BRISK,BRIEF,5,15.908233,17.067239,1.159006
BRISK,BRIEF,6,12.678716,16.344554,3.665838
BRISK,BRIEF,7,11.984351,13.732373,1.748022
BRISK,BRIEF,8,13.124118,18.108065,4.983947
BRISK,BRIEF,9,13.024118,14.467290,1.443172
BRISK,BRIEF,10,11.174641,9.867779,1.306862
BRISK,BRIEF,11,12.808601,14.662625,1.854024
BRISK,BRIEF,12,8.959780,12.196941,3.237160
BRISK,BRIEF,13,9.964390,11.843897,1.879507
BRISK,BRIEF,14,9.598630,10.990994,1.392364
BRISK,BRIEF,15,8.573525,10.303988,1.730463
BRISK,BRIEF,16,9.516170,12.125555,2.609385
BRISK,BRIEF,17,9.546581,10.422987,0.876406
BRISK,BRIEF,18,8.398803,9.804222,1.405419
