detector,descriptor,imageId,ttcLidar,ttcCamera,absDiff
BRISK,BRISK,1,12.515600,13.169478,0.653878
BRISK,BRISK,2,12.614245,20.425322,7.811077
BRISK,BRISK,3,14.091013,13.634719,0.456294
BRISK,BRISK,4,16.689386,14.907971,1.781415
BRISK,BRISK,5,15.908233,26.953672,11.045439
BRISK,BRISK,6,12.678716,17.564209,4.885493
BRISK,BRISK,7,11.984351,14.601329,2.616978
BRISK,BRISK,8,13.124118,14.477794,1.353676
BRISK,BRISK,9,13.024118,12.127514,0.896604
BRISK,BRISK,10,11.174641,11.221304,0.046663
BRISK,BRISK,11,12.808601,12.513677,0.294924
BRISK,BRISK,12,8.959780,12.177282,3.217502
BRISK,BRISK,13,9.964390,10.864689,0.900299
BRISK,BRISK,14,9.598630,12.794633,3.196003
BRISK,BRISK,15,8.573525,11.027832,2.454307
BRISK,BRISK,16,9.516170,11.620766,2.104596
BRISK,BRISK,17,9.546581,10.104604,0.558023
BRISK,BRISK,18,8.398803,13.517884,5.119081
