detector,descriptor,imageId,ttcLidar,ttcCamera,absDiff
BRISK,FREAK,1,12.515600,11.625079,0.890521
BRISK,FREAK,2,12.614245,23.475445,10.861200
BRISK,FREAK,3,14.091013,10.979248,3.111765
BRISK,FREAK,4,16.689386,14.840485,1.848901
BRISK,FREAK,5,15.908233,16.967570,1.059338
BRISK,FREAK,6,12.678716,15.848727,3.170011
BRISK,FREAK,7,11.984351,11.793484,0.190867
BRISK,FREAK,8,13.124118,13.936591,0.812473
BRISK,FREAK,9,13.024118,18.183420,5.159302
BRISK,FREAK,10,11.174641,11.592802,0.418161
BRISK,FREAK,11,12.808601,15.096514,2.287913
BRISK,FREAK,12,8.959780,11.183224,2.223444
BRISK,FREAK,13,9.964390,12.713567,2.749177
BRISK,FREAK,14,9.598630,10.910467,1.311837
BRISK,FREAK,15,8.573525,13.836049,5.262525
BRISK,FREAK,16,9.516170,10.578780,1.062610
BRISK,FREAK,17,9.546581,9.561059,0.014478
BRISK,FREAK,18,8.398803,11.290563,2.891760
