detector,descriptor,imageId,ttcLidar,ttcCamera,absDiff
BRISK,ORB,1,12.515600,11.633565,0.882035
BRISK,ORB,2,12.614245,19.817204,7.202959
BRISK,ORB,3,14.091013,12.848002,1.243011
BRISK,ORB,4,16.689386,13.464502,3.224884
BRISK,ORB,5,15.908233,21.738879,5.830646
BRISK,ORB,6,12.678716,20.322778,7.644063
BRISK,ORB,7,11.984351,14.440288,2.455937
BRISK,ORB,8,13.124118,16.013364,2.889246
BRISK,ORB,9,13.024118,13.352744,0.328626
BRISK,ORB,10,11.174641,10.655255,0.519386
BRISK,ORB,11,12.808601,13.493846,0.685245
BRISK,ORB,12,8.959780,12.503797,3.544017
BRISK,ORB,13,9.964390,11.223430,1.259040
BRISK,ORB,14,9.598630,15.579754,5.981124
BRISK,ORB,15,8.573525,10.266927,1.693403
BRISK,ORB,16,9.516170,11.349053,1.832883
BRISK,ORB,17,9.546581,9.270459,0.276122
BRISK,ORB,18,8.398803,16.435126,8.036323
