detector,descriptor,imageId,ttcLidar,ttcCamera,absDiff
BRISK,SIFT,1,12.515600,13.945914,1.430314
BRISK,SIFT,2,12.614245,18.780248,6.166003
BRISK,SIFT,3,14.091013,13.960490,0.130522
BRISK,SIFT,4,16.689386,15.194243,1.495142
BRISK,SIFT,5,15.908233,28.456934,12.548701
BRISK,SIFT,6,12.678716,19.425573,6.746857
BRISK,SIFT,7,11.984351,14.925148,2.940797
BRISK,SIFT,8,13.124118,17.121974,3.997856
BRISK,SIFT,9,13.024118,14.798870,1.774752
BRISK,SIFT,10,11.174641,12.193875,1.019233
BRISK,SIFT,11,12.808601,11.640077,1.168524
BRISK,SIFT,12,8.959780,11.308890,2.349109
BRISK,SIFT,13,9.964390,10.897126,0.932735
BRISK,SIFT,14,9.598630,10.916356,1.317726
BRISK,SIFT,15,8.573525,10.503989,1.930465
BRISK,SIFT,16,9.516170,13.909175,4.393006
BRISK,SIFT,17,9.546581,10.693548,1.146967
BRISK,SIFT,18,8.398803,14.254258,5.855455
