detector,descriptor,imageId,ttcLidar,ttcCamera,absDiff
FAST,BRIEF,1,12.515600,12.200935,0.314665
FAST,BRIEF,2,12.614245,13.308681,0.694436
FAST,BRIEF,3,14.091013,12.708387,1.382625
FAST,BRIEF,4,16.689386,11.984611,4.704775
FAST,BRIEF,5,15.908233,12.544659,3.363574
FAST,BRIEF,6,12.678716,11.450246,1.228470
FAST,BRIEF,7,11.984351,12.207347,0.222996
FAST,BRIEF,8,13.124118,12.807004,0.317114
FAST,BRIEF,9,13.024118,13.029729,0.005610
FAST,BRIEF,10,11.174641,12.756392,1.581750
FAST,BRIEF,11,12.808601,11.843832,0.964769
FAST,BRIEF,12,8.959780,12.305028,3.345247
FAST,BRIEF,13,9.964390,12.252640,2.288250
FAST,BRIEF,14,9.598630,11.229648,1.631019
FAST,BRIEF,15,8.573525,10.210745,1.637221
FAST,BRIEF,16,9.516170,9.767007,0.250837
FAST,BRIEF,17,9.546581,10.418860,0.872279
FAST,BRIEF,18,8.398803,10.260655,1.861852
