detector,descriptor,imageId,ttcLidar,ttcCamera,absDiff
FAST,BRISK,1,12.515600,13.206793,0.691193
FAST,BRISK,2,12.614245,12.656935,0.042690
FAST,BRISK,3,14.091013,13.098541,0.992472
FAST,BRISK,4,16.689386,12.626824,4.062562
FAST,BRISK,5,15.908233,11.321173,4.587060
FAST,BRISK,6,12.678716,11.860286,0.818430
FAST,BRISK,7,11.984351,12.860360,0.876009
FAST,BRISK,8,13.124118,11.195896,1.928222
FAST,BRISK,9,13.024118,13.489964,0.465846
FAST,BRISK,10,11.174641,11.390589,0.215947
FAST,BRISK,11,12.808601,12.000313,0.808288
FAST,BRISK,12,8.959780,12.500797,3.541016
FAST,BRISK,13,9.964390,12.707059,2.742669
FAST,BRISK,14,9.598630,12.234734,2.636104
FAST,BRISK,15,8.573525,12.068508,3.494984
FAST,BRISK,16,9.516170,10.775350,1.259181
FAST,BRISK,17,9.546581,10.364495,0.817914
FAST,BRISK,18,8.398803,11.563668,3.164865
