detector,descriptor,imageId,ttcLidar,ttcCamera,absDiff
FAST,FREAK,1,12.515600,13.075512,0.559912
FAST,FREAK,2,12.614245,12.747208,0.132963
FAST,FREAK,3,14.091013,13.709542,0.381470
FAST,FREAK,4,16.689386,13.181795,3.507591
FAST,FREAK,5,15.908233,11.458751,4.449481
FAST,FREAK,6,12.678716,11.925949,0.752767
FAST,FREAK,7,11.984351,12.721290,0.736939
FAST,FREAK,8,13.124118,12.564683,0.559435
FAST,FREAK,9,13.024118,13.668405,0.644287
FAST,FREAK,10,11.174641,13.550681,2.376039
FAST,FREAK,11,12.808601,12.150221,0.658381
FAST,FREAK,12,8.959780,12.763420,3.803639
FAST,FREAK,13,9.964390,11.342669,1.378279
FAST,FREAK,14,9.598630,11.694809,2.096179
FAST,FREAK,15,8.573525,11.186676,2.613151
FAST,FREAK,16,9.516170,9.445306,0.070864
FAST,FREAK,17,9.546581,10.745462,1.198881
FAST,FREAK,18,8.398803,11.272001,2.873198
