detector,descriptor,imageId,ttcLidar,ttcCamera,absDiff
FAST,ORB,1,12.515600,12.501444,0.014156
FAST,ORB,2,12.614245,13.123169,0.508924
FAST,ORB,3,14.091013,12.890959,1.200053
FAST,ORB,4,16.689386,12.053499,4.635887
FAST,ORB,5,15.908233,12.651834,3.256399
FAST,ORB,6,12.678716,12.460634,0.218082
FAST,ORB,7,11.984351,12.883834,0.899484
FAST,ORB,8,13.124118,11.630902,1.493216
FAST,ORB,9,13.024118,12.770310,0.253808
FAST,ORB,10,11.174641,12.519921,1.345279
FAST,ORB,11,12.808601,12.269044,0.539557
FAST,ORB,12,8.959780,12.054031,3.094250
FAST,ORB,13,9.964390,12.497775,2.533385
FAST,ORB,14,9.598630,11.903263,2.304633
FAST,ORB,15,8.573525,10.843857,2.270332
FAST,ORB,16,9.516170,11.378248,1.862079
FAST,ORB,17,9.546581,9.910262,0.363681
FAST,ORB,18,8.398803,11.295643,2.896840
