detector,descriptor,imageId,ttcLidar,ttcCamera,absDiff
FAST,SIFT,1,12.515600,12.269044,0.246556
FAST,SIFT,2,12.614245,12.092966,0.521279
FAST,SIFT,3,14.091013,13.176293,0.914719
FAST,SIFT,4,16.689386,12.876473,3.812913
FAST,SIFT,5,15.908233,12.254113,3.654119
FAST,SIFT,6,12.678716,12.580726,0.097990
FAST,SIFT,7,11.984351,13.589300,1.604949
FAST,SIFT,8,13.124118,13.230204,0.106086
FAST,SIFT,9,13.024118,14.000712,0.976594
FAST,SIFT,10,11.174641,13.567289,2.392647
FAST,SIFT,11,12.808601,12.205779,0.602822
FAST,SIFT,12,8.959780,12.439959,3.480179
FAST,SIFT,13,9.964390,13.020116,3.055726
FAST,SIFT,14,9.598630,11.426875,1.828245
FAST,SIFT,15,8.573525,11.383115,2.809590
FAST,SIFT,16,9.516170,10.650710,1.134540
FAST,SIFT,17,9.546581,10.508531,0.961950
FAST,SIFT,18,8.398803,11.672565,3.273761
