detector,descriptor,imageId,ttcLidar,ttcCamera,absDiff
HARRIS,BRIEF,1,12.515600,8.813354,3.702246
HARRIS,BRIEF,2,12.614245,11.008145,1.606100
HARRIS,BRIEF,3,14.091013,nan,nan
HARRIS,BRIEF,4,16.689386,12.628983,4.060403
HARRIS,BRIEF,5,15.908233,13.320613,2.587620
HARRIS,BRIEF,6,12.678716,14.389165,1.710449
HARRIS,BRIEF,7,11.984351,12.200000,0.215649
HARRIS,BRIEF,8,13.124118,13.570416,0.446298
HARRIS,BRIEF,9,13.024118,nan,nan
HARRIS,BRIEF,10,11.174641,10.293108,0.881533
HARRIS,BRIEF,11,12.808601,nan,nan
HARRIS,BRIEF,12,8.959780,nan,nan
HARRIS,BRIEF,13,9.964390,13.409498,3.445108
HARRIS,BRIEF,14,9.598630,nan,nan
HARRIS,BRIEF,15,8.573525,nan,nan
HARRIS,BRIEF,16,9.516170,6.330280,3.185889
HARRIS,BRIEF,17,9.546581,12.738432,3.191851
HARRIS,BRIEF,18,8.398803,nan,nan
