detector,descriptor,imageId,ttcLidar,ttcCamera,absDiff
HARRIS,BRISK,1,12.515600,nan,nan
HARRIS,BRISK,2,12.614245,10.585996,2.028249
HARRIS,BRISK,3,14.091013,nan,nan
HARRIS,BRISK,4,16.689386,11.754980,4.934406
HARRIS,BRISK,5,15.908233,13.320613,2.587620
HARRIS,BRISK,6,12.678716,nan,nan
HARRIS,BRISK,7,11.984351,12.200000,0.215649
HARRIS,BRISK,8,13.124118,12.372546,0.751573
HARRIS,BRISK,9,13.024118,nan,nan
HARRIS,BRISK,10,11.174641,-inf,inf
HARRIS,BRISK,11,12.808601,11.155164,1.653437
HARRIS,BRISK,12,8.959780,nan,nan
HARRIS,BRISK,13,9.964390,13.355051,3.390661
HARRIS,BRISK,14,9.598630,12.439358,2.840728
HARRIS,BRISK,15,8.573525,-inf,inf
HARRIS,BRISK,16,9.516170,10.964569,1.448399
HARRIS,BRISK,17,9.546581,nan,nan
HARRIS,BRISK,18,8.398803,nan,nan
