detector,descriptor,imageId,ttcLidar,ttcCamera,absDiff
HARRIS,SIFT,1,12.515600,8.695383,3.820217
HARRIS,SIFT,2,12.614245,10.585996,2.028249
HARRIS,SIFT,3,14.091013,-11.473146,25.564158
HARRIS,SIFT,4,16.689386,12.628983,4.060403
HARRIS,SIFT,5,15.908233,13.643206,2.265027
HARRIS,SIFT,6,12.678716,12.994489,0.315773
HARRIS,SIFT,7,11.984351,12.200000,0.215649
HARRIS,SIFT,8,13.124118,10.733489,2.390629
HARRIS,SIFT,9,13.024118,nan,nan
HARRIS,SIFT,10,11.174641,nan,nan
HARRIS,SIFT,11,12.808601,nan,nan
HARRIS,SIFT,12,8.959780,nan,nan
HARRIS,SIFT,13,9.964390,13.355051,3.390661
HARRIS,SIFT,14,9.598630,nan,nan
HARRIS,SIFT,15,8.573525,nan,nan
HARRIS,SIFT,16,9.516170,6.603384,2.912786
HARRIS,SIFT,17,9.546581,nan,nan
HARRIS,SIFT,18,8.398803,-inf,inf
