detector,descriptor,imageId,ttcLidar,ttcCamera,absDiff
ORB,BRIEF,1,12.515600,16.630727,4.115127
ORB,BRIEF,2,12.614245,9.793687,2.820558
ORB,BRIEF,3,14.091013,9.836630,4.254383
ORB,BRIEF,4,16.689386,11.144644,5.544741
ORB,BRIEF,5,15.908233,43.318257,27.410024
ORB,BRIEF,6,12.678716,nan,nan
ORB,BRIEF,7,11.984351,9.768014,2.216337
ORB,BRIEF,8,13.124118,-inf,inf
ORB,BRIEF,9,13.024118,66.163542,53.139424
ORB,BRIEF,10,11.174641,63.546757,52.372115
ORB,BRIEF,11,12.808601,14.308175,1.499574
ORB,BRIEF,12,8.959780,14.251972,5.292192
ORB,BRIEF,13,9.964390,12.372354,2.407964
ORB,BRIEF,14,9.598630,9.999249,0.400619
ORB,BRIEF,15,8.573525,13.025135,4.451610
ORB,BRIEF,16,9.516170,9.641411,0.125241
ORB,BRIEF,17,9.546581,11.579403,2.032821
ORB,BRIEF,18,8.398803,17.660432,9.261629
