detector,descriptor,imageId,ttcLidar,ttcCamera,absDiff
ORB,BRISK,1,12.515600,11.075757,1.439843
ORB,BRISK,2,12.614245,12.465481,0.148765
ORB,BRISK,3,14.091013,35.139159,21.048146
ORB,BRISK,4,16.689386,11.562654,5.126732
ORB,BRISK,5,15.908233,558.788741,542.880508
ORB,BRISK,6,12.678716,7.040914,5.637802
ORB,BRISK,7,11.984351,13.670179,1.685828
ORB,BRISK,8,13.124118,10.436657,2.687461
ORB,BRISK,9,13.024118,14.822090,1.797972
ORB,BRISK,10,11.174641,10.882205,0.292436
ORB,BRISK,11,12.808601,7.245121,5.563480
ORB,BRISK,12,8.959780,-inf,inf
ORB,BRISK,13,9.964390,21.563335,11.598945
ORB,BRISK,14,9.598630,11.352698,1.754068
ORB,BRISK,15,8.573525,33.350701,24.777177
ORB,BRISK,16,9.516170,30.637921,21.121751
ORB,BRISK,17,9.546581,18.706103,9.159522
ORB,BRISK,18,8.398803,29.889984,21.491181
