detector,descriptor,imageId,ttcLidar,ttcCamera,absDiff
ORB,FREAK,1,12.515600,12.056893,0.458707
ORB,FREAK,2,12.614245,10.666765,1.947481
ORB,FREAK,3,14.091013,11.024735,3.066278
ORB,FREAK,4,16.689386,10.849243,5.840143
ORB,FREAK,5,15.908233,54.509800,38.601567
ORB,FREAK,6,12.678716,-inf,inf
ORB,FREAK,7,11.984351,nan,nan
ORB,FREAK,8,13.124118,nan,nan
ORB,FREAK,9,13.024118,45.649660,32.625542
ORB,FREAK,10,11.174641,10.877540,0.297101
ORB,FREAK,11,12.808601,9.945997,2.862604
ORB,FREAK,12,8.959780,8.313420,0.646360
ORB,FREAK,13,9.964390,8.590362,1.374028
ORB,FREAK,14,9.598630,10.108208,0.509578
ORB,FREAK,15,8.573525,8.101241,0.472283
ORB,FREAK,16,9.516170,10.455842,0.939673
ORB,FREAK,17,9.546581,6.424122,3.122460
ORB,FREAK,18,8.398803,11.598749,3.199946
