detector,descriptor,imageId,ttcLidar,ttcCamera,absDiff
ORB,ORB,1,12.515600,-inf,inf
ORB,ORB,2,12.614245,9.542031,3.072214
ORB,ORB,3,14.091013,14.131278,0.040265
ORB,ORB,4,16.689386,43.255771,26.566385
ORB,ORB,5,15.908233,16.197434,0.289201
ORB,ORB,6,12.678716,-inf,inf
ORB,ORB,7,11.984351,-inf,inf
ORB,ORB,8,13.124118,18.374328,5.250210
ORB,ORB,9,13.024118,-inf,inf
ORB,ORB,10,11.174641,11.475885,0.301243
ORB,ORB,11,12.808601,19.226349,6.417748
ORB,ORB,12,8.959780,-inf,inf
ORB,ORB,13,9.964390,13.571271,3.606881
ORB,ORB,14,9.598630,28.909045,19.310416
ORB,ORB,15,8.573525,-inf,inf
ORB,ORB,16,9.516170,15.811292,6.295122
ORB,ORB,17,9.546581,20.171284,10.624703
ORB,ORB,18,8.398803,25.667780,17.268977
