detector,descriptor,imageId,ttcLidar,ttcCamera,absDiff
ORB,SIFT,1,12.515600,9.836291,2.679309
ORB,SIFT,2,12.614245,24.787637,12.173392
ORB,SIFT,3,14.091013,11.402313,2.688700
ORB,SIFT,4,16.689386,16.149160,0.540225
ORB,SIFT,5,15.908233,-inf,inf
ORB,SIFT,6,12.678716,-inf,inf
ORB,SIFT,7,11.984351,-inf,inf
ORB,SIFT,8,13.124118,10.881961,2.242157
ORB,SIFT,9,13.024118,-inf,inf
ORB,SIFT,10,11.174641,11.138868,0.035773
ORB,SIFT,11,12.808601,7.787813,5.020788
ORB,SIFT,12,8.959780,-inf,inf
ORB,SIFT,13,9.964390,11.596593,1.632203
ORB,SIFT,14,9.598630,27.026928,17.428299
ORB,SIFT,15,8.573525,-inf,inf
ORB,SIFT,16,9.516170,12.878731,3.362561
ORB,SIFT,17,9.546581,20.171284,10.624703
ORB,SIFT,18,8.398803,22.561165,14.162362
