detector,descriptor,imageId,ttcLidar,ttcCamera,absDiff
SHITOMASI,BRIEF,1,12.515600,13.813048,1.297448
SHITOMASI,BRIEF,2,12.614245,14.478399,1.864154
SHITOMASI,BRIEF,3,14.091013,10.998099,3.092913
SHITOMASI,BRIEF,4,16.689386,13.496825,3.192561
SHITOMASI,BRIEF,5,15.908233,12.080294,3.827938
SHITOMASI,BRIEF,6,12.678716,12.435922,0.242794
SHITOMASI,BRIEF,7,11.984351,17.664193,5.679843
SHITOMASI,BRIEF,8,13.124118,11.265304,1.858814
SHITOMASI,BRIEF,9,13.024118,11.278827,1.745291
SHITOMASI,BRIEF,10,11.174641,11.869700,0.695058
SHITOMASI,BRIEF,11,12.808601,12.179437,0.629164
SHITOMASI,BRIEF,12,8.959780,10.600000,1.640220
SHITOMASI,BRIEF,13,9.964390,12.266124,2.301734
SHITOMASI,BRIEF,14,9.598630,11.107073,1.508443
SHITOMASI,BRIEF,15,8.573525,12.368494,3.794970
SHITOMASI,BRIEF,16,9.516170,11.971179,2.455009
SHITOMASI,BRIEF,17,9.546581,10.432082,0.885501
SHITOMASI,BRIEF,18,8.398803,8.931810,0.533007
