detector,descriptor,imageId,ttcLidar,ttcCamera,absDiff
SHITOMASI,BRISK,1,12.515600,12.958971,0.443371
SHITOMASI,BRISK,2,12.614245,12.365504,0.248741
SHITOMASI,BRISK,3,14.091013,12.750238,1.340775
SHITOMASI,BRISK,4,16.689386,13.075512,3.613873
SHITOMASI,BRISK,5,15.908233,12.564464,3.343769
SHITOMASI,BRISK,6,12.678716,13.081741,0.403025
SHITOMASI,BRISK,7,11.984351,14.200416,2.216065
SHITOMASI,BRISK,8,13.124118,11.680107,1.444011
SHITOMASI,BRISK,9,13.024118,12.150894,0.873224
SHITOMASI,BRISK,10,11.174641,11.682975,0.508333
SHITOMASI,BRISK,11,12.808601,11.986430,0.822171
SHITOMASI,BRISK,12,8.959780,12.131180,3.171400
SHITOMASI,BRISK,13,9.964390,13.331533,3.367143
SHITOMASI,BRISK,14,9.598630,12.691909,3.093279
SHITOMASI,BRISK,15,8.573525,12.808526,4.235001
SHITOMASI,BRISK,16,9.516170,10.542598,1.026429
SHITOMASI,BRISK,17,9.546581,12.656178,3.109597
SHITOMASI,BRISK,18,8.398803,10.568723,2.169920
