detector,descriptor,imageId,ttcLidar,ttcCamera,absDiff
SHITOMASI,FREAK,1,12.515600,13.606680,1.091080
SHITOMASI,FREAK,2,12.614245,12.419468,0.194778
SHITOMASI,FREAK,3,14.091013,12.424919,1.666093
SHITOMASI,FREAK,4,16.689386,13.024906,3.664480
SHITOMASI,FREAK,5,15.908233,12.136790,3.771442
SHITOMASI,FREAK,6,12.678716,13.990913,1.312197
SHITOMASI,FREAK,7,11.984351,13.304143,1.319792
SHITOMASI,FREAK,8,13.124118,12.054238,1.069880
SHITOMASI,FREAK,9,13.024118,11.595198,1.428920
SHITOMASI,FREAK,10,11.174641,13.053399,1.878757
SHITOMASI,FREAK,11,12.808601,12.408267,0.400334
SHITOMASI,FREAK,12,8.959780,11.525555,2.565775
SHITOMASI,FREAK,13,9.964390,13.013583,3.049193
SHITOMASI,FREAK,14,9.598630,11.222223,1.623593
SHITOMASI,FREAK,15,8.573525,10.945669,2.372144
SHITOMASI,FREAK,16,9.516170,8.324640,1.191530
SHITOMASI,FREAK,17,9.546581,12.509717,2.963135
SHITOMASI,FREAK,18,8.398803,7.317370,1.081433
