detector,descriptor,imageId,ttcLidar,ttcCamera,absDiff
SHITOMASI,ORB,1,12.515600,12.230623,0.284977
SHITOMASI,ORB,2,12.614245,14.139521,1.525276
SHITOMASI,ORB,3,14.091013,12.286084,1.804928
SHITOMASI,ORB,4,16.689386,12.261320,4.428066
SHITOMASI,ORB,5,15.908233,12.218746,3.689487
SHITOMASI,ORB,6,12.678716,13.700519,1.021803
SHITOMASI,ORB,7,11.984351,14.255729,2.271378
SHITOMASI,ORB,8,13.124118,11.835178,1.288940
SHITOMASI,ORB,9,13.024118,11.322027,1.702091
SHITOMASI,ORB,10,11.174641,13.203019,2.028377
SHITOMASI,ORB,11,12.808601,11.198543,1.610058
SHITOMASI,ORB,12,8.959780,11.892371,2.932591
SHITOMASI,ORB,13,9.964390,12.894274,2.929884
SHITOMASI,ORB,14,9.598630,12.337864,2.739234
SHITOMASI,ORB,15,8.573525,11.322027,2.748502
SHITOMASI,ORB,16,9.516170,11.023486,1.507316
SHITOMASI,ORB,17,9.546581,11.953557,2.406976
SHITOMASI,ORB,18,8.398803,9.872649,1.473846
