detector,descriptor,imageId,ttcLidar,ttcCamera,absDiff
SHITOMASI,SIFT,1,12.515600,12.958971,0.443371
SHITOMASI,SIFT,2,12.614245,12.836389,0.222144
SHITOMASI,SIFT,3,14.091013,12.060210,2.030802
SHITOMASI,SIFT,4,16.689386,12.104647,4.584739
SHITOMASI,SIFT,5,15.908233,11.907190,4.001043
SHITOMASI,SIFT,6,12.678716,12.985849,0.307134
SHITOMASI,SIFT,7,11.984351,12.816525,0.832174
SHITOMASI,SIFT,8,13.124118,11.881825,1.242293
SHITOMASI,SIFT,9,13.024118,11.724535,1.299583
SHITOMASI,SIFT,10,11.174641,12.576644,1.402003
SHITOMASI,SIFT,11,12.808601,11.243144,1.565458
SHITOMASI,SIFT,12,8.959780,11.615996,2.656215
SHITOMASI,SIFT,13,9.964390,12.905532,2.941142
SHITOMASI,SIFT,14,9.598630,11.689171,2.090541
SHITOMASI,SIFT,15,8.573525,10.716477,2.142953
SHITOMASI,SIFT,16,9.516170,11.520816,2.004646
SHITOMASI,SIFT,17,9.546581,11.846327,2.299746
SHITOMASI,SIFT,18,8.398803,11.277587,2.878784
