detector,descriptor,imageId,ttcLidar,ttcCamera,absDiff
SIFT,BRIEF,1,12.515600,11.214913,1.300687
SIFT,BRIEF,2,12.614245,14.101580,1.487335
SIFT,BRIEF,3,14.091013,13.786248,0.304765
SIFT,BRIEF,4,16.689386,18.334036,1.644650
SIFT,BRIEF,5,15.908233,12.224841,3.683391
SIFT,BRIEF,6,12.678716,12.009232,0.669484
SIFT,BRIEF,7,11.984351,14.709965,2.725614
SIFT,BRIEF,8,13.124118,17.422350,4.298232
SIFT,BRIEF,9,13.024118,12.653441,0.370677
SIFT,BRIEF,10,11.174641,10.708211,0.466431
SIFT,BRIEF,11,12.808601,10.747716,2.060885
SIFT,BRIEF,12,8.959780,12.675881,3.716100
SIFT,BRIEF,13,9.964390,8.994095,0.970295
SIFT,BRIEF,14,9.598630,12.809512,3.210882
SIFT,BRIEF,15,8.573525,8.936584,0.363059
SIFT,BRIEF,16,9.516170,8.732990,0.783180
SIFT,BRIEF,17,9.546581,8.860075,0.686507
SIFT,BRIEF,18,8.398803,7.060417,1.338386
