detector,descriptor,imageId,ttcLidar,ttcCamera,absDiff
SIFT,BRISK,1,12.515600,14.821135,2.305535
SIFT,BRISK,2,12.614245,14.771851,2.157606
SIFT,BRISK,3,14.091013,14.566629,0.475616
SIFT,BRISK,4,16.689386,18.855518,2.166132
SIFT,BRISK,5,15.908233,15.192440,0.715792
SIFT,BRISK,6,12.678716,11.918022,0.760694
SIFT,BRISK,7,11.984351,16.185630,4.201279
SIFT,BRISK,8,13.124118,15.903466,2.779348
SIFT,BRISK,9,13.024118,11.826859,1.197259
SIFT,BRISK,10,11.174641,11.219103,0.044462
SIFT,BRISK,11,12.808601,12.404115,0.404486
SIFT,BRISK,12,8.959780,11.964159,3.004379
SIFT,BRISK,13,9.964390,9.610295,0.354095
SIFT,BRISK,14,9.598630,9.096926,0.501704
SIFT,BRISK,15,8.573525,9.539602,0.966077
SIFT,BRISK,16,9.516170,9.500436,0.015734
SIFT,BRISK,17,9.546581,8.401462,1.145119
SIFT,BRISK,18,8.398803,9.246460,0.847656
