detector,descriptor,imageId,ttcLidar,ttcCamera,absDiff
SIFT,FREAK,1,12.515600,10.103283,2.412317
SIFT,FREAK,2,12.614245,13.686548,1.072303
SIFT,FREAK,3,14.091013,13.561319,0.529693
SIFT,FREAK,4,16.689386,17.307667,0.618281
SIFT,FREAK,5,15.908233,12.402905,3.505328
SIFT,FREAK,6,12.678716,12.100258,0.578458
SIFT,FREAK,7,11.984351,14.943137,2.958787
SIFT,FREAK,8,13.124118,13.914315,0.790197
SIFT,FREAK,9,13.024118,14.250919,1.226801
SIFT,FREAK,10,11.174641,11.716111,0.541470
SIFT,FREAK,11,12.808601,13.609979,0.801378
SIFT,FREAK,12,8.959780,11.074539,2.114759
SIFT,FREAK,13,9.964390,9.683644,0.280746
SIFT,FREAK,14,9.598630,12.631574,3.032944
SIFT,FREAK,15,8.573525,11.517558,2.944034
SIFT,FREAK,16,9.516170,8.825038,0.691132
SIFT,FREAK,17,9.546581,8.847805,0.698776
SIFT,FREAK,18,8.398803,14.235277,5.836474
