detector,descriptor,imageId,ttcLidar,ttcCamera,absDiff
SIFT,SIFT,1,12.515600,10.469596,2.046004
SIFT,SIFT,2,12.614245,13.605737,0.991492
SIFT,SIFT,3,14.091013,12.896738,1.194274
SIFT,SIFT,4,16.689386,14.752728,1.936658
SIFT,SIFT,5,15.908233,12.289666,3.618567
SIFT,SIFT,6,12.678716,11.201188,1.477528
SIFT,SIFT,7,11.984351,13.590137,1.605786
SIFT,SIFT,8,13.124118,15.860421,2.736303
SIFT,SIFT,9,13.024118,12.434987,0.589131
SIFT,SIFT,10,11.174641,10.838342,0.336300
SIFT,SIFT,11,12.808601,10.554474,2.254127
SIFT,SIFT,12,8.959780,10.493677,1.533897
SIFT,SIFT,13,9.964390,9.723936,0.240454
SIFT,SIFT,14,9.598630,11.978293,2.379663
SIFT,SIFT,15,8.573525,9.780120,1.206595
SIFT,SIFT,16,9.516170,10.261139,0.744969
SIFT,SIFT,17,9.546581,8.628120,0.918462
SIFT,SIFT,18,8.398803,8.674369,0.275566
